ts,q95,q99,q995
2023-06,0,0,0
2023-07,342,66,37
2023-08,382,82,46
2023-09,298,63,31
2023-10,232,46,23
2023-11,309,70,41
2023-12,307,49,25
2024-01,238,44,24
2024-02,338,66,31
2024-03,238,41,14
2024-04,258,39,24
2024-05,336,67,30
2024-06,368,74,45
2024-07,303,50,26
2024-08,291,72,34
2024-09,337,69,33
2024-10,308,70,35
2024-11,226,33,14
2024-12,339,70,33
2025-01,318,52,24
2025-02,231,37,16
2025-03,278,55,23
2025-04,153,36,19
2025-05,318,88,47
2025-06,397,94,51
2025-07,350,85,45
2025-08,214,24,12
2025-09,233,44,16
2025-10,184,31,16
2025-11,387,75,37
2025-12,400,104,54
2026-01,159,24,13
2026-02,386,73,36
2026-03,212,34,20
2026-04,367,88,32
2026-05,304,59,30
2026-06,177,30,15
