root,near,far,months_between,near_close,far_close,near_vol,far_vol,ann_log_carry_pct
GC,GCM6,GCN6,1,4145.3,4155.2,66.0,543.0,2.862479521288856
GC,GCN6,GCQ6,1,4155.2,4172.9,543.0,68639.0,5.100810984686533
GC,GCQ6,GCU6,1,4172.9,4183.5,68639.0,242.0,3.04437480791671
GC,GCU6,GCV6,1,4183.5,4201.8,242.0,404.0,5.237745784648516
GC,GCV6,GCZ6,2,4201.8,4233.0,404.0,1205.0,4.438773978838024
GC,GCZ6,GCG7,2,4233.0,4260.4,1205.0,1042.0,3.8712546288521312
SI,SIN6,SIQ6,1,64.91,65.25,14785.0,119.0,6.269221388910677
SI,SIQ6,SIU6,1,65.25,65.38,119.0,2751.0,2.3884261119139065
SI,SIU6,SIZ6,3,65.38,65.785,2751.0,66.0,2.4701790086948145
HG,HGN6,HGQ6,1,6.337,6.3715,14611.0,65.0,6.515340394580436
HG,HGQ6,HGU6,1,6.3715,6.4015,65.0,3254.0,5.636900680679853
HG,HGU6,HGZ6,3,6.4015,6.491,3254.0,458.0,5.553705658893875
HG,HGZ6,HGH7,3,6.491,6.5705,458.0,25.0,4.869332420089703
PL,PLN6,PLQ6,1,1668.2,1669.3,6340.0,35.0,0.7910112645970626
PL,PLQ6,PLV6,2,1669.3,1685.9,35.0,1254.0,5.937101376247957
PL,PLV6,PLF7,3,1685.9,1695.8,1254.0,30.0,2.3420240192588198
PL,PLF7,PLF8,12,1695.8,1730.0,30.0,10.0,1.9966802621922126
PA,PAU6,PAZ6,3,1264.5,1280.0,1378.0,19.0,4.873316321457204
