root,date,anchor,anchor_months_out,anchor_close,anchor_volume,contracts,carry_1m_pct,carry_1m_symbol,carry_1m_months,carry_1m_volume,carry_2m_pct,carry_2m_symbol,carry_2m_months,carry_2m_volume,carry_3m_pct,carry_3m_symbol,carry_3m_months,carry_3m_volume,carry_4m_pct,carry_4m_symbol,carry_4m_months,carry_4m_volume,carry_5m_pct,carry_5m_symbol,carry_5m_months,carry_5m_volume,carry_6m_pct,carry_6m_symbol,carry_6m_months,carry_6m_volume,carry_8m_pct,carry_8m_symbol,carry_8m_months,carry_8m_volume,carry_12m_pct,carry_12m_symbol,carry_12m_months,carry_12m_volume
GC,2023-06-22,GCQ3,2,1924.3,160019.0,9,5.89517618648663,GCV3,2.0,649.0,5.89517618648663,GCV3,2.0,649.0,5.866496822629006,GCZ3,4.0,1511.0,5.866496822629006,GCZ3,4.0,1511.0,5.797804328424425,GCG4,6.0,139.0,5.797804328424425,GCG4,6.0,139.0,5.907689322920004,GCJ4,8.0,23.0,5.615147054461174,GCZ4,16.0,15.0
GC,2023-06-23,GCQ3,2,1930.3,172134.0,8,6.092364794377822,GCV3,2.0,743.0,6.092364794377822,GCV3,2.0,743.0,6.016048973961687,GCZ3,4.0,1368.0,6.016048973961687,GCZ3,4.0,1368.0,5.9712021045234165,GCG4,6.0,198.0,5.9712021045234165,GCG4,6.0,198.0,5.82242258379638,GCJ4,8.0,92.0,5.280332688620672,GCZ4,16.0,28.0
GC,2023-06-25,GCQ3,2,1935.1,4898.0,3,5.849275693344487,GCZ3,4.0,41.0,5.849275693344487,GCZ3,4.0,41.0,5.849275693344487,GCZ3,4.0,41.0,5.849275693344487,GCZ3,4.0,41.0,,,,,,,,,,,,,,,,
GC,2023-06-26,GCQ3,2,1932.2,137993.0,7,5.686660472703281,GCV3,2.0,361.0,5.686660472703281,GCV3,2.0,361.0,5.949312334511829,GCZ3,4.0,1430.0,5.949312334511829,GCZ3,4.0,1430.0,6.03573177411495,GCG4,6.0,165.0,6.03573177411495,GCG4,6.0,165.0,5.973550507228836,GCJ4,8.0,33.0,,,,
GC,2023-06-27,GCQ3,2,1924.5,169739.0,8,5.771065279908165,GCV3,2.0,734.0,5.771065279908165,GCV3,2.0,734.0,5.896464770469789,GCZ3,4.0,2317.0,5.896464770469789,GCZ3,4.0,2317.0,5.918318594472886,GCG4,6.0,152.0,5.918318594472886,GCG4,6.0,152.0,5.734643334460823,GCJ4,8.0,71.0,,,,
GC,2023-06-28,GCQ3,2,1917.5,147592.0,6,6.225736791654478,GCV3,2.0,636.0,6.225736791654478,GCV3,2.0,636.0,6.086469507449008,GCZ3,4.0,1332.0,6.086469507449008,GCZ3,4.0,1332.0,6.04083108099547,GCG4,6.0,148.0,6.04083108099547,GCG4,6.0,148.0,5.980858687106603,GCJ4,8.0,45.0,,,,
GC,2023-06-29,GCQ3,2,1916.7,193821.0,8,5.70142151248495,GCV3,2.0,727.0,5.70142151248495,GCV3,2.0,727.0,5.8588346869806385,GCZ3,4.0,3139.0,5.8588346869806385,GCZ3,4.0,3139.0,5.931919486932304,GCG4,6.0,478.0,5.931919486932304,GCG4,6.0,478.0,5.923134380466958,GCJ4,8.0,152.0,5.345658156641065,GCZ4,16.0,12.0
GC,2023-06-30,GCQ3,2,1927.8,167607.0,8,3.853128796046188,GCU3,1.0,23.0,5.422050272342178,GCV3,2.0,557.0,5.947501038570817,GCZ3,4.0,2408.0,5.947501038570817,GCZ3,4.0,2408.0,5.958692090975632,GCG4,6.0,310.0,5.958692090975632,GCG4,6.0,310.0,6.016818816390642,GCJ4,8.0,23.0,5.565600537454481,GCZ4,16.0,30.0
GC,2023-07-02,GCQ3,1,1926.1,2825.0,3,5.937428745177761,GCZ3,4.0,15.0,5.937428745177761,GCZ3,4.0,15.0,5.937428745177761,GCZ3,4.0,15.0,5.937428745177761,GCZ3,4.0,15.0,,,,,,,,,,,,,,,,
GC,2023-07-03,GCQ3,1,1929.0,141245.0,7,5.771479591800497,GCU3,1.0,33.0,5.911682808857542,GCV3,2.0,464.0,5.821836789616576,GCZ3,4.0,1901.0,5.821836789616576,GCZ3,4.0,1901.0,5.985229364487264,GCG4,6.0,234.0,5.985229364487264,GCG4,6.0,234.0,5.930951955655336,GCJ4,8.0,30.0,,,,
