frequency,normal_quantile,root,episodes,mean_cum_log_return,median_cum_log_return,tstat_cum_log_return,positive_fraction,mean_flow_signed_return,median_flow_signed_return,tstat_flow_signed_return,flow_continuation_fraction,mean_max_runup,mean_max_drawdown
1h,0.5,GC,164,0.0002198852658217504,0.0003037207319418478,0.7747578354034408,0.5792682926829268,0.00017507266296269122,1.4911352013591284e-05,0.6164468810883674,0.5,0.001525102549259354,-0.0013117893201026092
1h,0.5,HG,164,0.000813832973456579,4.1368468976510364e-05,1.978249769435028,0.5,-0.00038632563282978085,-0.00023541162869811227,-0.9304601417866097,0.4451219512195122,0.002542479476392749,-0.0018653054592544286
1h,0.5,PA,164,0.0005579376311478781,0.0005305147785197306,0.670139152442688,0.5182926829268293,0.0008636616879083913,0.0005270092348590438,1.0387147312083889,0.5121951219512195,0.004471834023362281,-0.0035687783630267847
1h,0.5,PL,164,0.0003915147372923918,0.0006452707186008766,0.7272100214361593,0.5426829268292683,0.00022324292982522378,-0.00010878990637053221,0.41420422393425405,0.47560975609756095,0.003277749056179957,-0.002576207069948265
1h,0.5,SI,164,0.00018910104327199892,0.0,0.37383608325680195,0.4878048780487805,0.0012301496490650851,-4.273321655512419e-05,2.476152408805408,0.47560975609756095,0.002789683227278022,-0.0026399466730889724
1h,0.75,GC,166,0.00028649894273112325,0.00011449036062138873,1.9439814185137372,0.5481927710843374,-0.00032040481893854116,-0.0002998188012552916,-2.1803114583756704,0.39759036144578314,0.0009161820505609125,-0.0006323082454960068
1h,0.75,HG,166,0.0005215260463178181,-5.58440833775542e-05,1.9054214370093565,0.4759036144578313,-0.0003259570874474809,-0.0,-1.1829958508467555,0.4819277108433735,0.0015546364049301565,-0.0010195454925253657
1h,0.75,PA,166,0.000484974225184895,0.0,0.9930152658018242,0.4759036144578313,-0.0006715188115111117,-0.0,-1.3707529675517647,0.42771084337349397,0.002751248895723278,-0.0021081352970743167
1h,0.75,PL,166,0.00045467613687038243,0.0001043624714771596,1.309966621250227,0.5060240963855421,0.0003159671527438577,4.097185236062728e-05,0.9078945269379156,0.5,0.002047137351845221,-0.001367271087724975
1h,0.75,SI,166,0.00030686532744590727,0.0001310958570608367,1.0369142779448097,0.5060240963855421,-0.00028838018163856067,-0.00040562582618997034,-0.9740812135520203,0.42168674698795183,0.0017064209975391285,-0.001312107342249187
1h,0.95,GC,167,9.45060792429886e-05,0.00010306622013800393,0.8172507429049833,0.5389221556886228,-0.00017837534274504799,-0.0001488294566023285,-1.5505322861519761,0.41916167664670656,0.0005950655472508349,-0.0005010910982435684
1h,0.95,HG,167,0.0005195299700615271,0.00012718600971028948,2.520573790731778,0.5149700598802395,-2.2805408038817964e-05,-0.0,-0.10858912508371082,0.48502994011976047,0.0011722265946724668,-0.0007309755819770616
1h,0.95,PA,167,0.0006501760846401764,0.0,1.8286625403319903,0.49101796407185627,-0.0005062050428282047,0.0,-1.4102525942272797,0.4491017964071856,0.001976617071053607,-0.0013271225049004882
1h,0.95,PL,167,0.0007736934524669503,0.0,2.3884260576867735,0.49101796407185627,0.000563549755103932,-0.0,1.7258376992943134,0.49700598802395207,0.001664368455282566,-0.0009009417073363373
1h,0.95,SI,167,0.00035419114941100756,0.00018373909100866115,1.4741300269953452,0.5209580838323353,-0.00020904518656538176,-0.0002104598555594528,-0.8663506437735664,0.4491017964071856,0.0012634875207804743,-0.0008496889701335578
5m,0.5,GC,1669,2.3547249201093056e-05,2.1217682817820105e-05,0.9128204438840689,0.5014979029358898,-1.5543141659080106e-05,0.0,-0.6021119339009062,0.4787297783103655,0.0004023331185677471,-0.00039066197260567096
5m,0.5,HG,1669,4.132223629432319e-05,0.0,1.062577189047354,0.4745356500898742,-5.153336470118949e-05,-0.0,-1.3215374634447477,0.4313960455362493,0.000615572543034706,-0.0005746448596744317
5m,0.5,PA,1669,0.00013228112688264498,0.0,1.7413084260401916,0.42480527261833434,-0.00011114224599763605,0.0,-1.27964630930376,0.3271420011983224,0.0013418995307129004,-0.0011978453972956368
5m,0.5,PL,1669,4.864668171815071e-05,0.0,0.720864656412625,0.4907130017974835,-3.2037170181040286e-05,-0.0,-0.46985497431206047,0.4457759137207909,0.0009712127351194202,-0.000920120751443135
5m,0.5,SI,1669,1.55377778505304e-05,0.0,0.2700696858863194,0.46854403834631514,-0.00012663730940174576,0.0,-2.196625762009015,0.42959856201318153,0.0008167780663948889,-0.0008311544094507364
5m,0.75,GC,1795,-1.443686372271622e-05,0.0,-0.7643375730045642,0.47520891364902507,-7.133785010937891e-06,0.0,-0.3774371618892785,0.46016713091922007,0.0002497464056801306,-0.0002628332733101562
5m,0.75,HG,1795,1.0976653299390405e-05,0.0,0.4048506779523651,0.45571030640668525,-2.849653565576292e-05,-0.0,-1.0479518450311156,0.4306406685236769,0.0003877232555184696,-0.0003666004718790395
5m,0.75,PA,1795,0.00011772776371486266,0.0,2.1725703605812097,0.38050139275766015,-6.246204024389157e-05,0.0,-1.0020158456617967,0.3181058495821727,0.0008962080880244835,-0.0007652319061459837
5m,0.75,PL,1795,3.444391521074545e-05,0.0,0.7272083803998408,0.48022284122562675,3.969212807803107e-05,-0.0,0.8276563843534008,0.4551532033426184,0.000636018403438503,-0.0005986379010239742
