frequency,normal_quantile,root,episodes,mean_cum_log_return,median_cum_log_return,tstat_cum_log_return,positive_fraction,mean_flow_signed_return,median_flow_signed_return,tstat_flow_signed_return,flow_continuation_fraction,median_duration_minutes
1h,0.5,GC,110,-8.334382874500532e-06,0.0003037207319418478,-0.024485357466990397,0.5636363636363636,0.00025957142308868214,0.0,0.7646281994377192,0.4909090909090909,180.0
1h,0.5,HG,31,0.0015815566955317917,0.0006570302470263467,1.6336789804222134,0.6451612903225806,0.0005379796409411445,0.0001249609498656934,0.5350612958903023,0.5161290322580645,120.0
1h,0.5,PL,15,-0.0017896820714758733,0.00045735194028395654,-0.9547268759408686,0.5333333333333333,-0.0032375500331374594,-0.0008899766968557543,-1.87106583233185,0.4666666666666667,180.0
1h,0.5,SI,33,0.001381178804960376,0.00036038200882559934,1.2616130319819268,0.5151515151515151,0.0003481297585407959,0.0003635041843006448,0.31083597205577423,0.6060606060606061,240.0
1h,0.75,GC,113,0.00015411413633237476,0.00015049286441382037,0.5822337041093943,0.5309734513274337,0.00018138290216942308,-5.0664977844228076e-05,0.6856532239179401,0.4690265486725664,120.0
1h,0.75,HG,32,0.001271700869370028,-5.892294924014774e-05,1.4915416960841945,0.5,0.0008769398000652642,0.0003642187220211923,1.009710988746718,0.625,120.0
1h,0.75,PL,15,-0.0005969530800674861,-0.0009577337728314816,-0.716638862031992,0.4,-0.00010150789336543416,-0.0003075188379515481,-0.11974548219256619,0.4666666666666667,120.0
1h,0.75,SI,34,0.0009451012776974831,0.00011074197165972244,1.5395487987710668,0.5,-0.0007263261478452974,0.0,-1.1661486902862408,0.47058823529411764,120.0
1h,0.95,GC,115,-0.00011960072761494259,0.0,-0.5340994226888313,0.48695652173913045,0.00011759333984086935,-0.00019576175856528266,0.5251131884785728,0.40869565217391307,60.0
1h,0.95,HG,32,0.0015307766661352834,0.00037851328325477773,1.9454742435555172,0.59375,0.0006132155828577346,0.00024363787044856533,0.7422283491618911,0.59375,60.0
1h,0.95,PL,15,-0.00020312556453448612,-0.0009577337728314816,-0.3270512221632993,0.3333333333333333,7.863094192159062e-05,-0.0006127306769130314,0.12619402560132037,0.4,60.0
1h,0.95,SI,34,0.0013843089352937386,0.0005209651309410201,2.6774023752267992,0.5882352941176471,-0.0006347357709087199,0.0002848130015125072,-1.1342060783623982,0.5588235294117647,60.0
5m,0.5,GC,731,2.8043378270031667e-05,0.0,0.7088985303335857,0.48153214774281805,5.466135904744211e-05,2.5571850509109595e-05,1.3830982307909772,0.5047879616963065,15.0
5m,0.5,HG,356,0.0001434134720943541,0.0,1.4019639037627087,0.49719101123595505,7.197827044495982e-05,0.0,0.7021836762507424,0.4410112359550562,15.0
5m,0.5,PA,99,0.0002853750724807494,0.0,0.7204025713069284,0.48484848484848486,0.00014712193140565272,0.0,0.3706755654741629,0.3939393939393939,15.0
5m,0.5,PL,206,-3.4410377038126e-05,0.0001038125616803498,-0.23365774976652032,0.5194174757281553,-1.0651866997020704e-05,-8.160157197911744e-05,-0.07232096468972735,0.4368932038834951,15.0
5m,0.5,SI,335,0.0001414069623222749,0.0,1.0052522012130567,0.45671641791044776,-6.152909851314023e-05,-0.0,-0.4368706240895819,0.4388059701492537,20.0
5m,0.75,GC,788,-6.748392917955664e-06,-3.015057195909776e-05,-0.2521131453345035,0.45685279187817257,1.0006121317687504e-05,-2.8891366540051422e-05,0.3738366824969362,0.4543147208121827,10.0
5m,0.75,HG,386,4.0402232381912335e-05,0.0,0.5643727096188121,0.47668393782383417,6.678861832326146e-05,-0.0,0.9336295873555928,0.4326424870466321,10.0
5m,0.75,PA,101,0.0004780792538655851,0.0,1.7740783091746117,0.49504950495049505,0.00031222164614197906,0.0,1.1482894495709839,0.46534653465346537,10.0
5m,0.75,PL,218,-1.7508452854825426e-05,0.0,-0.16278619730516367,0.4724770642201835,-7.860237990270918e-05,-0.00011210770269087789,-0.7316679448934351,0.38073394495412843,5.0
5m,0.75,SI,359,9.861270214923995e-06,0.0,0.11028208893629272,0.4623955431754875,0.00011991019706413002,0.0,1.3443561310358147,0.4735376044568245,10.0
5m,0.95,GC,844,7.545979834056238e-06,-2.9366057756163855e-05,0.42264186568935597,0.45260663507109006,-1.1523667227956784e-05,0.0,-0.6455187852145893,0.4585308056872038,5.0
5m,0.95,HG,401,6.325448041034047e-05,0.0,1.1204961080197553,0.4763092269326683,6.663343879104181e-06,0.0,0.11785236891498668,0.42144638403990026,5.0
5m,0.95,PA,103,0.00041818548095775285,0.0,1.3676138711400132,0.46601941747572817,0.00041627929869963943,0.0,1.3612664676870596,0.42718446601941745,5.0
5m,0.95,PL,225,-2.134269348314572e-07,0.0,-0.0024580664792621886,0.4444444444444444,-5.1497078324255574e-05,-0.00011201344173006333,-0.593564958352168,0.39111111111111113,5.0
5m,0.95,SI,381,3.581628912120144e-05,0.0,0.48181309090328484,0.43832020997375326,8.305221532103096e-05,0.0,1.118743811827612,0.4356955380577428,5.0
