frequency,normal_quantile,root,episodes,mean_cum_log_return,median_cum_log_return,tstat_cum_log_return,positive_fraction,mean_flow_signed_return,median_flow_signed_return,tstat_flow_signed_return,flow_continuation_fraction,mean_max_runup,mean_max_drawdown
1h,0.5,GC,189,0.00021268426022163733,0.0003035054907210011,0.8603373270173246,0.5661375661375662,-2.3806804742197155e-05,8.657633874076254e-05,-0.09611516963816662,0.5079365079365079,0.001601093843668729,-0.0014583885632636052
1h,0.5,HG,189,0.0007870460246261435,9.99050902474874e-05,2.0626253298245993,0.5079365079365079,-4.038844043287972e-05,0.00011272050961608215,-0.10467204509576308,0.5026455026455027,0.0027446559973083188,-0.0019386747559599058
1h,0.5,PA,189,0.0003957865626408301,0.0,0.6959912600688068,0.48148148148148145,0.0003491812646035434,0.0005321989323165965,0.6160829490255515,0.5238095238095238,0.00425162415905334,-0.0033891509336426125
1h,0.5,PL,189,0.0003279888927510525,0.00042158516644708044,0.7708820532387712,0.5238095238095238,6.62243937896923e-05,-0.0,0.15541372739736473,0.4973544973544973,0.00313566956270076,-0.0026588572400286095
1h,0.5,SI,189,0.00018436605863041494,-0.00017987229115856707,0.3991608089180109,0.4603174603174603,0.0004184478891901735,-0.00017022725379423065,0.9075564130330114,0.47619047619047616,0.0029705317513975733,-0.0029648846817121035
1h,0.75,GC,194,6.852041207343526e-05,9.105848970625274e-05,0.38387166804456774,0.520618556701031,-3.571010195023785e-05,-4.4367418019497507e-05,-0.20000297431422753,0.4793814432989691,0.0009552437707740548,-0.000936755722349455
1h,0.75,HG,194,0.0005096276534097019,-0.00011700674648285059,1.895928311531643,0.4742268041237113,-7.67383998474135e-05,0.00023353976942519505,-0.282920638327551,0.5360824742268041,0.001685413450746532,-0.0011762067615630329
1h,0.75,PA,194,0.0002479063533568437,0.0,0.55194387054131,0.4484536082474227,-0.0002977037279108367,-0.0,-0.6597680845334291,0.4690721649484536,0.0026670110658403817,-0.0022576910035204713
1h,0.75,PL,194,0.0003784045347626763,-0.00016044306544626963,1.1951650473561117,0.4587628865979381,0.00032910671921625753,0.00031129621928771556,1.03852553811229,0.5360824742268041,0.0020390809213865885,-0.001536631138441356
1h,0.75,SI,194,-5.150255054313909e-05,-0.00021729756963062563,-0.18130326196640467,0.4536082474226804,-0.00013874568885792742,-0.00038548936509519294,-0.48868377802816376,0.4484536082474227,0.0017183149547505717,-0.001732930662920129
1h,0.95,GC,196,-6.932376121809518e-05,7.251775837691099e-05,-0.455305614790661,0.5204081632653061,2.256100826129558e-05,-4.937201818577819e-05,0.14810615015453454,0.45918367346938777,0.0006384496164527789,-0.0007058685405576707
1h,0.95,HG,196,0.0005303376053064113,0.00010983561538180364,2.633403984532534,0.5051020408163265,0.00014549372429920786,0.0002070205640485323,0.7108582583826267,0.5357142857142857,0.001208137801572173,-0.000725857789877816
1h,0.95,PA,196,0.00042974829204553704,0.0,1.2390075276924148,0.4642857142857143,-0.0002758863579070309,0.000317510718653935,-0.7898082438219118,0.5051020408163265,0.0019133030748004073,-0.0014558246461668831
1h,0.95,PL,196,0.0005518777793228874,-0.00010103552619655787,1.8045354915337777,0.4744897959183674,0.0006025953861426694,0.00031458466533207385,1.9735428633433572,0.5306122448979592,0.0015709987744907212,-0.0010203859262412028
1h,0.95,SI,196,8.999771391133746e-05,4.273321655512419e-05,0.3321334623935528,0.5,5.3549245064809386e-05,-0.00011389746375733978,0.19758554563876143,0.47959183673469385,0.001273548482706738,-0.0011212893912137523
