ts,q95,q99,q995
2023-06,0,0,0
2023-07,0,0,0
2023-08,0,0,0
2023-09,1,0,0
2023-10,1,0,0
2023-11,3,2,0
2023-12,2,1,1
2024-01,1,1,1
2024-02,2,0,0
2024-03,0,0,0
2024-04,0,0,0
2024-05,1,0,0
2024-06,3,0,0
2024-07,1,1,0
2024-08,2,0,0
2024-09,1,0,0
2024-10,3,0,0
2024-11,1,0,0
2024-12,3,0,0
2025-01,3,0,0
2025-02,1,0,0
2025-03,0,0,0
2025-04,0,0,0
2025-05,0,0,0
2025-06,0,0,0
2025-07,1,0,0
2025-08,1,0,0
2025-09,2,0,0
2025-10,0,0,0
2025-11,1,0,0
2025-12,2,2,2
2026-01,1,1,1
2026-02,3,0,0
2026-03,1,1,0
2026-04,0,0,0
2026-05,2,0,0
2026-06,1,0,0
