ts,q95,q99,q995
2023-06,0,0,0
2023-07,30,6,3
2023-08,32,5,4
2023-09,23,3,2
2023-10,17,4,3
2023-11,35,6,4
2023-12,31,3,1
2024-01,21,5,1
2024-02,27,5,2
2024-03,15,4,1
2024-04,16,6,1
2024-05,27,5,4
2024-06,34,5,3
2024-07,23,7,3
2024-08,23,4,1
2024-09,33,6,4
2024-10,22,3,1
2024-11,16,2,1
2024-12,39,7,1
2025-01,24,3,1
2025-02,20,3,1
2025-03,23,3,2
2025-04,10,1,1
2025-05,18,6,3
2025-06,39,14,6
2025-07,32,7,4
2025-08,11,3,1
2025-09,17,4,3
2025-10,13,4,1
2025-11,30,7,4
2025-12,44,15,8
2026-01,12,0,0
2026-02,35,7,5
2026-03,13,1,1
2026-04,35,5,3
2026-05,28,5,4
2026-06,10,2,0
