root,hour_utc,size_bucket,trades,contracts,mean_size,share_within_root_hour
GC,0,001: 1,1498666,1498666.0,1.0,0.7303426309110509
GC,0,002: 2,309428,618856.0,2.0,0.15079307837606554
GC,0,003: 3-5,195503,698982.0,3.575300634772868,0.0952741807520843
GC,0,004: 6-10,38807,281628.0,7.257144329631252,0.018911756507297258
GC,0,005: 11-25,8576,125343.0,14.615555037313433,0.004179329085128489
GC,0,006: 26-50,813,27584.0,33.92865928659287,0.000396198058093454
GC,0,007: 51-100,156,10489.0,67.23717948717949,7.602324361940815e-05
GC,0,008: 101-250,53,7261.0,137.0,2.5828409691209178e-05
GC,0,009: 251-500,2,652.0,326.0,9.746569694795916e-07
GC,1,001: 1,2622351,2622351.0,1.0,0.7424257652374383
GC,1,002: 2,518239,1036478.0,2.0,0.14672100956389314
GC,1,003: 3-5,313771,1118854.0,3.565829856806397,0.08883314048512814
GC,1,004: 6-10,61894,448977.0,7.253966458784373,0.017523092947361357
GC,1,005: 11-25,14168,206049.0,14.543266516092602,0.004011167170940895
GC,1,006: 26-50,1289,44023.0,34.15283165244375,0.00036493467556061637
GC,1,007: 51-100,331,22934.0,69.2870090634441,9.371092134256325e-05
GC,1,008: 101-250,93,12432.0,133.67741935483872,2.6329654637034385e-05
GC,1,009: 251-500,3,1024.0,341.3333333333333,8.493436979688512e-07
GC,2,001: 1,1812795,1812795.0,1.0,0.7334390122821434
GC,2,002: 2,366561,733122.0,2.0,0.14830697226170347
GC,2,003: 3-5,233460,835825.0,3.5801636254604645,0.09445561787592595
GC,2,004: 6-10,47091,343087.0,7.285617209233187,0.019052555047525184
GC,2,005: 11-25,10605,153279.0,14.453465346534653,0.004290678606931358
GC,2,006: 26-50,869,29798.0,34.28998849252014,0.00035158884577306455
GC,2,007: 51-100,209,14638.0,70.03827751196172,8.455934265428135e-05
GC,2,008: 101-250,44,6222.0,141.4090909090909,1.7801966874585547e-05
GC,2,009: 251-500,3,1077.0,359.0,1.213770468721742e-06
GC,3,001: 1,1392191,1392191.0,1.0,0.7301397249555001
GC,3,002: 2,284182,568364.0,2.0,0.1490403021692454
GC,3,003: 3-5,184387,660671.0,3.5830671359694555,0.09670244489827172
GC,3,004: 6-10,37273,270590.0,7.259678587717651,0.019547962864482214
GC,3,005: 11-25,7915,113872.0,14.386860391661402,0.004151051057665782
GC,3,006: 26-50,599,20047.0,33.46744574290484,0.00031414776797748626
GC,3,007: 51-100,157,10818.0,68.90445859872611,8.233923133967502e-05
GC,3,008: 101-250,38,5506.0,144.89473684210526,1.9929240706418158e-05
GC,3,009: 251-500,4,1198.0,299.5,2.0978148112019116e-06
GC,4,001: 1,1026356,1026356.0,1.0,0.7200977197097315
GC,4,002: 2,216528,433056.0,2.0,0.1519173844682632
GC,4,003: 3-5,145238,522907.0,3.6003456395709112,0.10189987939389644
GC,4,004: 6-10,30045,218014.0,7.256248959893493,0.021079757889736976
GC,4,005: 11-25,6540,94437.0,14.439908256880734,0.0045885044632677585
GC,4,006: 26-50,462,15635.0,33.84199134199134,0.00032414205841432793
GC,4,007: 51-100,102,7476.0,73.29411764705883,7.156383107848798e-05
GC,4,008: 101-250,27,3880.0,143.7037037037037,1.8943367050187995e-05
GC,4,009: 251-500,3,924.0,308.0,2.1048185611319995e-06
GC,5,001: 1,1667651,1667651.0,1.0,0.7318049393128634
GC,5,002: 2,339279,678558.0,2.0,0.14888369809098484
GC,5,003: 3-5,218084,781735.0,3.584559160690376,0.09570044834627059
GC,5,004: 6-10,43468,314806.0,7.242247170332198,0.019074792688669
GC,5,005: 11-25,9375,135225.0,14.424,0.004113973071139042
GC,5,006: 26-50,709,24029.0,33.89139633286319,0.00031112607012667525
GC,5,007: 51-100,187,13097.0,70.03743315508021,8.206004952565342e-05
GC,5,008: 101-250,64,8830.0,137.96875,2.8084722832309193e-05
GC,5,009: 251-500,2,533.0,266.5,8.776475885096623e-07
GC,6,001: 1,2143782,2143782.0,1.0,0.725856633477244
GC,6,002: 2,441997,883994.0,2.0,0.1496544212177551
GC,6,003: 3-5,292725,1050934.0,3.5901750789990605,0.0991128683021997
GC,6,004: 6-10,59988,436863.0,7.28250650130026,0.020311154645870202
GC,6,005: 11-25,13722,199043.0,14.5053927998834,0.004646090285567629
GC,6,006: 26-50,987,33065.0,33.50050658561297,0.000334185330990763
GC,6,007: 51-100,204,13692.0,67.11764705882354,6.90717401439875e-05
GC,6,008: 101-250,43,5786.0,134.5581395348837,1.4559239344075794e-05
GC,6,009: 251-500,3,944.0,314.6666666666667,1.0157608844704043e-06
GC,7,001: 1,2197079,2197079.0,1.0,0.7081250316259765
GC,7,002: 2,479684,959368.0,2.0,0.15460356576639933
GC,7,003: 3-5,332776,1201569.0,3.6107441642426137,0.10725468475387819
GC,7,004: 6-10,74503,543434.0,7.294122384333517,0.02401253629534037
GC,7,005: 11-25,17264,249220.0,14.435820203892494,0.005564238038773689
GC,7,006: 26-50,1088,36312.0,33.375,0.0003506656039264234
GC,7,007: 51-100,218,15359.0,70.45412844036697,7.026204196319881e-05
GC,7,008: 101-250,57,7475.0,131.140350877193,1.837126785276299e-05
GC,7,009: 251-500,2,556.0,278.0,6.446058895706313e-07
GC,8,001: 1,2208331,2208331.0,1.0,0.706605999811216
GC,8,002: 2,480275,960550.0,2.0,0.15367496836268285
GC,8,003: 3-5,336164,1216524.0,3.6188408038933377,0.10756335862718841
GC,8,004: 6-10,78653,575354.0,7.3150928763047816,0.02516682585316765
GC,8,005: 11-25,20227,293096.0,14.490334701142038,0.006472091166669067
GC,8,006: 26-50,1322,44231.0,33.45763993948563,0.0004230041292498396
GC,8,007: 51-100,234,16117.0,68.87606837606837,7.487365071441941e-05
GC,8,008: 101-250,57,7929.0,139.10526315789474,1.8238453379153448e-05
GC,8,009: 251-500,2,559.0,279.5,6.399457326018753e-07
GC,9,001: 1,1963501,1963501.0,1.0,0.6986792176220081
GC,9,002: 2,437094,874188.0,2.0,0.15553263988522237
GC,9,003: 3-5,313737,1137838.0,3.626725569505669,0.11163810036209605
GC,9,004: 6-10,75093,550719.0,7.333826055690944,0.026720596775295483
GC,9,005: 11-25,19272,281910.0,14.627957658779577,0.006857621097219375
GC,9,006: 26-50,1350,45068.0,33.3837037037037,0.0004803750768600123
GC,9,007: 51-100,217,14667.0,67.58986175115207,7.721584568786865e-05
GC,9,008: 101-250,40,5379.0,134.475,1.4233335610667032e-05
GC,10,001: 1,1804612,1804612.0,1.0,0.6950811185778317
GC,10,002: 2,404144,808288.0,2.0,0.1556638565999335
GC,10,003: 3-5,295870,1075180.0,3.6339608611890357,0.1139600371457261
GC,10,004: 6-10,71273,523008.0,7.338094369536852,0.02745217064077918
GC,10,005: 11-25,18849,276457.0,14.666931932728527,0.007260055903470414
GC,10,006: 26-50,1271,42263.0,33.25177025963808,0.0004895501646406121
GC,10,007: 51-100,189,13000.0,68.78306878306879,7.279699537142068e-05
GC,10,008: 101-250,50,6635.0,132.7,1.9258464383973723e-05
GC,10,009: 251-500,3,1010.0,336.6666666666667,1.1555078630384234e-06
GC,11,001: 1,2066948,2066948.0,1.0,0.7022903668276844
GC,11,002: 2,450726,901452.0,2.0,0.15314392422004564
